"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 28 22:58:07 GMT 2024","Sun Jan 28 22:58:11 GMT 2024","3845","webkit","socialLinks.spec.ts","","","","click on Facebook",""
"passed","Sun Jan 28 22:57:48 GMT 2024","Sun Jan 28 22:57:49 GMT 2024","1516","webkit","cart.spec.ts","","","","Validate if the item has been removed from the cart after click 'Remove' button",""
"passed","Sun Jan 28 22:57:42 GMT 2024","Sun Jan 28 22:57:45 GMT 2024","2963","webkit","cart.spec.ts","","","","Validate that the item has been addicioned to the cart",""
"passed","Sun Jan 28 22:57:46 GMT 2024","Sun Jan 28 22:57:48 GMT 2024","1720","webkit","cart.spec.ts","","","","Validate if the cart icon counter is counting correctly the numbers of itens added to cart",""
"passed","Sun Jan 28 22:57:21 GMT 2024","Sun Jan 28 22:57:22 GMT 2024","1380","firefox","cart.spec.ts","","","","Validate if the cart icon counter is counting correctly the numbers of itens added to cart",""
"passed","Sun Jan 28 22:57:26 GMT 2024","Sun Jan 28 22:57:28 GMT 2024","1267","firefox","inventoryProduct.spec.ts","","","","Valitade if the product information is correct on the inventory",""
"passed","Sun Jan 28 22:57:34 GMT 2024","Sun Jan 28 22:57:37 GMT 2024","3170","firefox","socialLinks.spec.ts","","","","click on LINKEDIN",""
"passed","Sun Jan 28 22:57:04 GMT 2024","Sun Jan 28 22:57:05 GMT 2024","1107","chromium","inventoryProduct.spec.ts","","","","Valitade if the product information is correct on the inventory",""
"passed","Sun Jan 28 22:57:02 GMT 2024","Sun Jan 28 22:57:04 GMT 2024","1303","chromium","checkout.spec.ts","","","","Sucessfull checkout of a single item",""
"passed","Sun Jan 28 22:57:11 GMT 2024","Sun Jan 28 22:57:14 GMT 2024","2802","chromium","socialLinks.spec.ts","","","","click on LINKEDIN",""
"passed","Sun Jan 28 22:57:52 GMT 2024","Sun Jan 28 22:57:54 GMT 2024","1473","webkit","inventoryProduct.spec.ts","","","","Valitade if the product information is correct on the inventory",""
"passed","Sun Jan 28 22:57:17 GMT 2024","Sun Jan 28 22:57:20 GMT 2024","3269","firefox","cart.spec.ts","","","","Validate that the item has been addicioned to the cart",""
"passed","Sun Jan 28 22:56:58 GMT 2024","Sun Jan 28 22:56:59 GMT 2024","1126","chromium","cart.spec.ts","","","","Validate that multiples itens has been addicioned to the cart",""
"passed","Sun Jan 28 22:57:54 GMT 2024","Sun Jan 28 22:57:55 GMT 2024","1397","webkit","login.spec.ts","","","","Sucessfull Login",""
"passed","Sun Jan 28 22:57:50 GMT 2024","Sun Jan 28 22:57:52 GMT 2024","1867","webkit","checkout.spec.ts","","","","Sucessfull checkout of a single item",""
"passed","Sun Jan 28 22:57:20 GMT 2024","Sun Jan 28 22:57:21 GMT 2024","1319","firefox","cart.spec.ts","","","","Validate that multiples itens has been addicioned to the cart",""
"passed","Sun Jan 28 22:57:29 GMT 2024","Sun Jan 28 22:57:34 GMT 2024","4841","firefox","socialLinks.spec.ts","","","","click on twitter",""
"passed","Sun Jan 28 22:57:14 GMT 2024","Sun Jan 28 22:57:16 GMT 2024","2415","chromium","socialLinks.spec.ts","","","","click on Facebook",""
"passed","Sun Jan 28 22:56:59 GMT 2024","Sun Jan 28 22:57:00 GMT 2024","1186","chromium","cart.spec.ts","","","","Validate if the cart icon counter is counting correctly the numbers of itens added to cart",""
